-0.1,-0.66536,-0.6593,-0.7261,-0.71888,-0.7225,-0.72566,-0.72609
-0.08,-0.54134,-0.53633,-0.58088,-0.5751,-0.578,-0.58055,-0.58087
-0.06,-0.41303,-0.40914,-0.43566,-0.43133,-0.4335,-0.43544,-0.43565
-0.04,-0.2802,-0.27752,-0.29044,-0.28755,-0.289,-0.29031,-0.29043
-0.02,-0.14261,-0.14122,-0.14522,-0.14378,-0.1445,-0.14516,-0.14522
0,0,0,0,0,0,0,0
0.02,0.14792,0.14642,0.14522,0.14378,0.1445,0.14517,0.14522
0.04,0.30146,0.29835,0.29044,0.28755,0.289,0.29036,0.29043
0.06,0.46093,0.45608,0.43566,0.43133,0.4335,0.43557,0.43565
0.08,0.6267,0.61998,0.58088,0.5751,0.578,0.58079,0.58087
0.1,0.79915,0.7904,0.7261,0.71888,0.7225,0.72603,0.72609
