prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
21,7.5164,7.5164,7.5164,7.5164,0,0,-0.01,0,-0.075164,-0.075164,-0.075164,-0.075164,1.7254e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0,0,0,0,0,0
21,7.5164,7.5164,7.5164,7.5164,0,0,0.01,0,0.075164,0.075164,0.075164,0.075164,1.6638e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.02,0,0.15033,0.15033,0.15033,0.15033,1.4349e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.03,0,0.22549,0.22549,0.22549,0.22549,1.7078e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.04,0,0.30066,0.30066,0.30066,0.30066,1.7958e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.05,0,0.37582,0.37582,0.37582,0.37582,1.4877e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.06,0,0.45099,0.45098,0.45099,0.45098,1.6374e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.07,0,0.52615,0.52615,0.52615,0.52615,1.5757e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.08,0,0.60131,0.60131,0.60131,0.60131,1.6286e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.09,0,0.67648,0.67648,0.67648,0.67648,1.655e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0.1,0,0.75164,0.75164,0.75164,0.75164,1.787e-16
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0,0,0,0,0,0
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.01,0.0024179,0.0020849,0.0024179,0.0020849,0.0003696
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.02,0.0048357,0.0041698,0.0048357,0.0041698,0.000738
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.03,0.0072536,0.0062547,0.0072536,0.0062547,0.0011052
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.04,0.0096714,0.0083396,0.0096714,0.0083396,0.0014713
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.05,0.012089,0.010425,0.012089,0.010425,0.0018361
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.06,0.014507,0.012509,0.014507,0.012509,0.0021998
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.07,0.016925,0.014594,0.016925,0.014594,0.0025624
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.08,0.019343,0.016679,0.019343,0.016679,0.0029238
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.09,0.021761,0.018764,0.021761,0.018764,0.003284
21,7.5164,7.5164,7.5164,7.5164,0,0,0,0.1,0.024179,0.020849,0.024179,0.020849,0.0036432

