prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
22,1.9999,1.9999,1.9999,1.9999,-0.1,0,0,0,0.49701,0.49842,0.39888,0.39933,0.0048504
22,1.9999,1.9999,1.9999,1.9999,-0.09,0,0,0,0.43658,0.43773,0.35899,0.3594,0.0042981
22,1.9999,1.9999,1.9999,1.9999,-0.08,0,0,0,0.37899,0.3799,0.3191,0.31947,0.0037625
22,1.9999,1.9999,1.9999,1.9999,-0.07,0,0,0,0.32402,0.32474,0.27921,0.27953,0.003243
22,1.9999,1.9999,1.9999,1.9999,-0.06,0,0,0,0.27151,0.27207,0.23933,0.2396,0.0027388
22,1.9999,1.9999,1.9999,1.9999,-0.05,0,0,0,0.2213,0.22172,0.19944,0.19967,0.0022492
22,1.9999,1.9999,1.9999,1.9999,-0.04,0,0,0,0.17324,0.17354,0.15955,0.15973,0.0017736
22,1.9999,1.9999,1.9999,1.9999,-0.03,0,0,0,0.1272,0.12741,0.11966,0.1198,0.0013114
22,1.9999,1.9999,1.9999,1.9999,-0.02,0,0,0,0.083052,0.083177,0.079775,0.079867,0.00086214
22,1.9999,1.9999,1.9999,1.9999,-0.01,0,0,0,0.040688,0.040744,0.039888,0.039933,0.00042516
22,1.9999,1.9999,1.9999,1.9999,0,0,0,0,0,0,0,0,0
22,1.9999,1.9999,1.9999,1.9999,0.01,0,0,0,-0.039108,-0.039154,-0.039888,-0.039933,0.0004138
22,1.9999,1.9999,1.9999,1.9999,0.02,0,0,0,-0.076725,-0.076809,-0.079775,-0.079867,0.00081669
22,1.9999,1.9999,1.9999,1.9999,0.03,0,0,0,-0.11293,-0.11305,-0.11966,-0.1198,0.0012091
22,1.9999,1.9999,1.9999,1.9999,0.04,0,0,0,-0.14781,-0.14795,-0.15955,-0.15973,0.0015914
22,1.9999,1.9999,1.9999,1.9999,0.05,0,0,0,-0.18143,-0.18159,-0.19944,-0.19967,0.001964
22,1.9999,1.9999,1.9999,1.9999,0.06,0,0,0,-0.21386,-0.21403,-0.23933,-0.2396,0.0023272
22,1.9999,1.9999,1.9999,1.9999,0.07,0,0,0,-0.24516,-0.24534,-0.27921,-0.27953,0.0026815
22,1.9999,1.9999,1.9999,1.9999,0.08,0,0,0,-0.27538,-0.27557,-0.3191,-0.31947,0.003027
22,1.9999,1.9999,1.9999,1.9999,0.09,0,0,0,-0.30458,-0.30478,-0.35899,-0.3594,0.0033641
22,1.9999,1.9999,1.9999,1.9999,0.1,0,0,0,-0.33282,-0.33301,-0.39888,-0.39933,0.0036932
22,1.9999,1.9999,1.9999,1.9999,0,-0.1,0,0,-0.1814,-0.18159,-0.19943,-0.19967,0.0020062
22,1.9999,1.9999,1.9999,1.9999,0,-0.09,0,0,-0.16475,-0.16493,-0.17949,-0.1797,0.0018115
