prob_id,QoISNf,QoIVEFf,QoISNa,QoIVEFa,dsigt,dsigs,dq,dinc,dQoISNf,dQoIVEFf,dQoISNa,dQoIVEFa,Ediff
20,3.9783,3.9783,3.9783,3.9783,-0.1,0,0,0,0.96679,0.97822,0.79006,0.78651,0.0041699
20,3.9783,3.9783,3.9783,3.9783,-0.09,0,0,0,0.84995,0.85948,0.71105,0.70786,0.0037046
20,3.9783,3.9783,3.9783,3.9783,-0.08,0,0,0,0.73838,0.74625,0.63205,0.62921,0.0032509
20,3.9783,3.9783,3.9783,3.9783,-0.07,0,0,0,0.63175,0.63815,0.55304,0.55056,0.002809
20,3.9783,3.9783,3.9783,3.9783,-0.06,0,0,0,0.52974,0.53484,0.47404,0.47191,0.0023788
20,3.9783,3.9783,3.9783,3.9783,-0.05,0,0,0,0.43205,0.43602,0.39503,0.39326,0.0019586
20,3.9783,3.9783,3.9783,3.9783,-0.04,0,0,0,0.33844,0.34139,0.31602,0.3146,0.0015484
20,3.9783,3.9783,3.9783,3.9783,-0.03,0,0,0,0.24864,0.25071,0.23702,0.23595,0.0011476
20,3.9783,3.9783,3.9783,3.9783,-0.02,0,0,0,0.16244,0.16373,0.15801,0.1573,0.00075617
20,3.9783,3.9783,3.9783,3.9783,-0.01,0,0,0,0.079623,0.080226,0.079006,0.078651,0.00037371
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0,0,0,0,0,0
20,3.9783,3.9783,3.9783,3.9783,0.01,0,0,0,-0.076608,-0.077137,-0.079006,-0.078651,0.00036522
20,3.9783,3.9783,3.9783,3.9783,0.02,0,0,0,-0.15037,-0.15136,-0.15801,-0.1573,0.0007222
20,3.9783,3.9783,3.9783,3.9783,0.03,0,0,0,-0.22143,-0.22283,-0.23702,-0.23595,0.0010712
20,3.9783,3.9783,3.9783,3.9783,0.04,0,0,0,-0.28994,-0.29169,-0.31602,-0.3146,0.0014126
20,3.9783,3.9783,3.9783,3.9783,0.05,0,0,0,-0.35603,-0.35809,-0.39503,-0.39326,0.0017471
20,3.9783,3.9783,3.9783,3.9783,0.06,0,0,0,-0.41983,-0.42215,-0.47404,-0.47191,0.0020746
20,3.9783,3.9783,3.9783,3.9783,0.07,0,0,0,-0.48145,-0.484,-0.55304,-0.55056,0.0023951
20,3.9783,3.9783,3.9783,3.9783,0.08,0,0,0,-0.541,-0.54374,-0.63205,-0.62921,0.002709
20,3.9783,3.9783,3.9783,3.9783,0.09,0,0,0,-0.59858,-0.60149,-0.71105,-0.70786,0.0030163
20,3.9783,3.9783,3.9783,3.9783,0.1,0,0,0,-0.65428,-0.65733,-0.79006,-0.78651,0.0033173
20,3.9783,3.9783,3.9783,3.9783,0,-0.1,0,0,-0.358,-0.35809,-0.39317,-0.39326,0.00076637
20,3.9783,3.9783,3.9783,3.9783,0,-0.09,0,0,-0.32511,-0.32519,-0.35385,-0.35393,0.00069353
20,3.9783,3.9783,3.9783,3.9783,0,-0.08,0,0,-0.29162,-0.29169,-0.31454,-0.3146,0.00061991
20,3.9783,3.9783,3.9783,3.9783,0,-0.07,0,0,-0.25752,-0.25757,-0.27522,-0.27528,0.00054549
20,3.9783,3.9783,3.9783,3.9783,0,-0.06,0,0,-0.22278,-0.22283,-0.2359,-0.23595,0.00047022
20,3.9783,3.9783,3.9783,3.9783,0,-0.05,0,0,-0.18738,-0.18743,-0.19659,-0.19663,0.0003941
20,3.9783,3.9783,3.9783,3.9783,0,-0.04,0,0,-0.15132,-0.15136,-0.15727,-0.1573,0.0003171
20,3.9783,3.9783,3.9783,3.9783,0,-0.03,0,0,-0.11458,-0.1146,-0.11795,-0.11798,0.0002392
20,3.9783,3.9783,3.9783,3.9783,0,-0.02,0,0,-0.07712,-0.077137,-0.078634,-0.078651,0.0001604
20,3.9783,3.9783,3.9783,3.9783,0,-0.01,0,0,-0.038935,-0.038943,-0.039317,-0.039326,8.067e-05
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0,0,0,0,0,0
20,3.9783,3.9783,3.9783,3.9783,0,0.01,0,0,0.039707,0.039715,0.039317,0.039326,8.1629e-05
20,3.9783,3.9783,3.9783,3.9783,0,0.02,0,0,0.080209,0.080226,0.078634,0.078651,0.00016424
20,3.9783,3.9783,3.9783,3.9783,0,0.03,0,0,0.12153,0.12155,0.11795,0.11798,0.00024784
20,3.9783,3.9783,3.9783,3.9783,0,0.04,0,0,0.1637,0.16373,0.15727,0.1573,0.00033245
20,3.9783,3.9783,3.9783,3.9783,0,0.05,0,0,0.20673,0.20677,0.19659,0.19663,0.0004181
20,3.9783,3.9783,3.9783,3.9783,0,0.06,0,0,0.25066,0.25071,0.2359,0.23595,0.00050481
20,3.9783,3.9783,3.9783,3.9783,0,0.07,0,0,0.29552,0.29557,0.27522,0.27528,0.00059258
20,3.9783,3.9783,3.9783,3.9783,0,0.08,0,0,0.34133,0.34139,0.31454,0.3146,0.00068146
20,3.9783,3.9783,3.9783,3.9783,0,0.09,0,0,0.38813,0.3882,0.35385,0.35393,0.00077152
20,3.9783,3.9783,3.9783,3.9783,0,0.1,0,0,0.43594,0.43602,0.39317,0.39326,0.00086275
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.1,0,-0.39783,-0.39783,-0.39783,-0.39783,1.4117e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.09,0,-0.35805,-0.35805,-0.35805,-0.35805,1.2406e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.08,0,-0.31826,-0.31826,-0.31826,-0.31826,1.369e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.07,0,-0.27848,-0.27848,-0.27848,-0.27848,1.4032e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.06,0,-0.2387,-0.2387,-0.2387,-0.2387,1.446e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.05,0,-0.19891,-0.19891,-0.19891,-0.19891,1.4374e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.04,0,-0.15913,-0.15913,-0.15913,-0.15913,1.1893e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.03,0,-0.11935,-0.11935,-0.11935,-0.11935,1.4117e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.02,0,-0.079566,-0.079566,-0.079566,-0.079566,1.5315e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,-0.01,0,-0.039783,-0.039783,-0.039783,-0.039783,1.2064e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0,0,0,0,0,0
20,3.9783,3.9783,3.9783,3.9783,0,0,0.01,0,0.039783,0.039783,0.039783,0.039783,1.1807e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.02,0,0.079566,0.079566,0.079566,0.079566,1.4716e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.03,0,0.11935,0.11935,0.11935,0.11935,1.2748e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.04,0,0.15913,0.15913,0.15913,0.15913,1.5829e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.05,0,0.19891,0.19891,0.19891,0.19891,1.2321e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.06,0,0.2387,0.2387,0.2387,0.2387,1.4203e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.07,0,0.27848,0.27848,0.27848,0.27848,1.4032e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.08,0,0.31826,0.31826,0.31826,0.31826,1.2748e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.09,0,0.35805,0.35805,0.35805,0.35805,1.3519e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0.1,0,0.39783,0.39783,0.39783,0.39783,1.2834e-16
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0,0,0,0,0,0
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.01,0.00021715,0.00011416,0.00021715,0.00011416,0.00034922
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.02,0.00043429,0.00022831,0.00043429,0.00022831,0.00069632
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.03,0.00065144,0.00034247,0.00065144,0.00034247,0.0010413
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.04,0.00086858,0.00045663,0.00086858,0.00045663,0.0013843
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.05,0.0010857,0.00057078,0.0010857,0.00057078,0.0017253
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.06,0.0013029,0.00068494,0.0013029,0.00068494,0.0020642
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.07,0.00152,0.0007991,0.00152,0.0007991,0.0024012
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.08,0.0017372,0.00091326,0.0017372,0.00091326,0.0027363
20,3.9783,3.9783,3.9783,3.9783,0,0,0,0.09,0.0019543,0.0010274,0.0019543,0.0010274,0.0030694
